date,donations,is_holiday,holiday_name,is_outlier,is_mco
2006-01-01,525,1,new_year,0,0
2006-01-02,227,0,Non-Holiday,0,0
2006-01-03,112,0,Non-Holiday,0,0
2006-01-04,391,0,Non-Holiday,0,0
2006-01-05,582,0,Non-Holiday,0,0
2006-01-06,324,0,Non-Holiday,0,0
2006-01-07,118,0,Non-Holiday,0,0
2006-01-08,795,0,Non-Holiday,0,0
2006-01-09,346,0,Non-Holiday,0,0
2006-01-10,2,0,Non-Holiday,0,0
2006-01-11,448,0,Non-Holiday,0,0
2006-01-12,805,0,Non-Holiday,0,0
2006-01-13,418,0,Non-Holiday,0,0
2006-01-14,315,0,Non-Holiday,0,0
2006-01-15,562,0,Non-Holiday,0,0
2006-01-16,584,0,Non-Holiday,0,0
2006-01-17,1219,0,Non-Holiday,0,0
2006-01-18,862,0,Non-Holiday,0,0
2006-01-19,975,0,Non-Holiday,0,0
2006-01-20,704,0,Non-Holiday,0,0
2006-01-21,481,0,Non-Holiday,0,0
2006-01-22,397,0,Non-Holiday,0,0
2006-01-23,396,0,Non-Holiday,0,0
2006-01-24,1054,0,Non-Holiday,0,0
2006-01-25,785,0,Non-Holiday,0,0
2006-01-26,1196,0,Non-Holiday,0,0
2006-01-27,107,0,Non-Holiday,0,0
2006-01-28,170,0,Non-Holiday,0,0
2006-01-29,0,1,chinese_new_year,0,0
2006-01-30,42,0,Non-Holiday,0,0
2006-01-31,85,0,Non-Holiday,0,0
2006-02-01,276,0,Non-Holiday,0,0
2006-02-02,411,0,Non-Holiday,0,0
2006-02-03,199,0,Non-Holiday,0,0
2006-02-04,328,0,Non-Holiday,0,0
2006-02-05,425,0,Non-Holiday,0,0
2006-02-06,616,0,Non-Holiday,0,0
2006-02-07,759,0,Non-Holiday,0,0
2006-02-08,1456,0,Non-Holiday,0,0
2006-02-09,1042,0,Non-Holiday,0,0
2006-02-10,1136,0,Non-Holiday,0,0
2006-02-11,2147,0,Non-Holiday,0,0
2006-02-12,593,0,Non-Holiday,0,0
2006-02-13,219,0,Non-Holiday,0,0
2006-02-14,447,0,Non-Holiday,0,0
2006-02-15,799,0,Non-Holiday,0,0
2006-02-16,630,0,Non-Holiday,0,0
2006-02-17,238,0,Non-Holiday,0,0
2006-02-18,1211,0,Non-Holiday,0,0
2006-02-19,292,0,Non-Holiday,0,0
2006-02-20,333,0,Non-Holiday,0,0
2006-02-21,1461,0,Non-Holiday,0,0
2006-02-22,857,0,Non-Holiday,0,0
2006-02-23,702,0,Non-Holiday,0,0
2006-02-24,552,0,Non-Holiday,0,0
2006-02-25,760,0,Non-Holiday,0,0
2006-02-26,467,0,Non-Holiday,0,0
2006-02-27,721,0,Non-Holiday,0,0
2006-02-28,523,0,Non-Holiday,0,0
2006-03-01,827,0,Non-Holiday,0,0
2006-03-02,851,0,Non-Holiday,0,0
2006-03-03,623,0,Non-Holiday,0,0
2006-03-04,493,0,Non-Holiday,0,0
2006-03-05,994,0,Non-Holiday,0,0
2006-03-06,613,0,Non-Holiday,0,0
2006-03-07,581,0,Non-Holiday,0,0
2006-03-08,945,0,Non-Holiday,0,0
2006-03-09,603,0,Non-Holiday,0,0
2006-03-10,424,0,Non-Holiday,0,0
2006-03-11,539,0,Non-Holiday,0,0
2006-03-12,609,0,Non-Holiday,0,0
2006-03-13,399,0,Non-Holiday,0,0
2006-03-14,717,0,Non-Holiday,0,0
2006-03-15,816,0,Non-Holiday,0,0
2006-03-16,1269,0,Non-Holiday,0,0
2006-03-17,423,0,Non-Holiday,0,0
2006-03-18,475,0,Non-Holiday,0,0
2006-03-19,763,0,Non-Holiday,0,0
2006-03-20,448,0,Non-Holiday,0,0
2006-03-21,856,0,Non-Holiday,0,0
2006-03-22,602,0,Non-Holiday,0,0
2006-03-23,562,0,Non-Holiday,0,0
2006-03-24,441,0,Non-Holiday,0,0
2006-03-25,710,0,Non-Holiday,0,0
2006-03-26,434,0,Non-Holiday,0,0
2006-03-27,593,0,Non-Holiday,0,0
2006-03-28,756,0,Non-Holiday,0,0
2006-03-29,1329,0,Non-Holiday,0,0
2006-03-30,1087,0,Non-Holiday,0,0
2006-03-31,742,0,Non-Holiday,0,0
2006-04-01,673,0,Non-Holiday,0,0
2006-04-02,403,0,Non-Holiday,0,0
2006-04-03,292,0,Non-Holiday,0,0
2006-04-04,773,0,Non-Holiday,0,0
2006-04-05,471,0,Non-Holiday,0,0
2006-04-06,405,0,Non-Holiday,0,0
2006-04-07,153,0,Non-Holiday,0,0
2006-04-08,742,0,Non-Holiday,0,0
2006-04-09,1230,0,Non-Holiday,0,0
2006-04-10,566,0,Non-Holiday,0,0
2006-04-11,349,0,Non-Holiday,0,0
